topic,tone,harm_types
-1_content_report_community_account,"supportive, preventative, authoritative","psychological, reputational, privacy-related"
0_safety_community_information_user,"supportive, preventative","psychological, privacy-related, identity-based"
10_information_datum_device_use,"supportive, authoritative","privacy-related, economic"
11_harassment_bullying_individual_target,"authoritative, preventative, directive","psychological, reputational, identity-based, privacy-related"
12_teen_parent_comment_young,"supportive, preventative, authoritative","psychological, privacy-related, sexual"
13_spam_server_report_account,"authoritative, preventative, supportive","reputational, economic, privacy-related"
14_account_ban_appeal_error,"authoritative, directive, procedural","psychological, reputational, privacy-related, economic"
15_strike_restriction_policy_violation,"authoritative, preventative, supportive","psychological, reputational, sexual, identity-based, privacy-related"
16_appeal_pin_deactivate_request,"authoritative, preventative","psychological, reputational, privacy-related"
17_trans_shame_body_report,"supportive, preventative, cautious","identity-based, psychological, reputational, privacy-related, sexual, economic"
18_animal_violence_violent_harm,"authoritative, directive, preventative","psychological, physical, reputational, identity-based"
19_misinformation_false_content_health,"authoritative, preventative","psychological, physical, reputational, identity-based, privacy-related"
1_chat_message_messenger_block,"preventative, supportive","psychological, privacy-related, reputational"
20_content_edsa_guideline_misinformation,"authoritative, preventative, supportive","psychological, reputational, privacy-related, identity-based, economic"
21_violence_violent_organisation_extremist,"authoritative, preventative","psychological, physical, identity-based"
22_request_law_enforcement_user,"authoritative, preventative","privacy-related, physical, psychological, reputational"
23_job_report_select_match,"supportive, preventative, authoritative","psychological, reputational, privacy-related, economic"
24_filter_comment_word_message,"preventative, supportive, authoritative","psychological, reputational"
25_member_boundary_ghost_feel,"preventative, supportive","psychological, reputational, sexual, privacy-related, economic"
2_game_player_voice_account,"authoritative, preventative, supportive","psychological, identity-based, reputational, privacy-related"
3_suicide_disorder_eat_selfharm,"supportive, preventative","psychological, physical"
4_service_term_use_agreement,"authoritative, directive, neutral-formal","reputational, privacy-related, psychological, physical, economic, identity-based"
5_sexual_consent_explicit_content,"preventative, authoritative, supportive","sexual, psychological, reputational, privacy-related, identity-based"
6_post_account_report_violation,"authoritative, supportive, preventative","psychological, reputational, privacy-related, identity-based"
7_hate_protect_speech_group,"authoritative, preventative, supportive","identity-based, psychological, reputational"
8_bully_bullying_student_help,"supportive, preventative","psychological, reputational, privacy-related"
9_report_click_message_account,"supportive, preventative, procedural","psychological, reputational, identity-based, privacy-related, sexual, economic, physical"
